BRNES0,AdhocTD0,DARL0,BRNES10,AdhocTD10,DARL10,BRNES30,AdhocTD30,DARL30,BRNES40,AdhocTD40,DARL40
854.17,392.56,827.06,841.35,773.15,976.65,865.48,968.36,979.88,817.07,991.3,990.47
113.08,127.47,107.5,162.09,1001,250.52,292.51,1001,260.1,178.67,1001,287.7
90.86,67.42,60.72,52.46,1001,111.91,94.01,1001,169.95,165.13,1001,258.24
107.24,29.56,42.81,33.41,925.25,74.8,73.3,1001,163.81,133.58,1001,221.26
33.88,26.05,72.59,28.58,962.67,65.9,52.4,1001,143.37,122.84,1001,206.09
35.31,19.51,27.18,22.92,902.63,59.18,43.92,1001,126.49,101.96,1001,191.66
86.04,18.84,119.53,20.65,902.41,55.78,40.52,1001,120.11,90.58,1001,177.82
119.8,15.81,19.17,18.79,814.55,51.56,38.17,1001,114.21,80.77,1001,165.95
20.19,16.92,21.96,16.88,902.6,50.39,35.12,1001,113.69,69.57,1001,154
101.16,16.1,77.16,10.92,814.38,49.86,32.76,1001,108.3,58.29,1001,141.8
